Continent_Name,Year,GDP,CO2 Emission,Temperature Change
Europe,1979,5971910565647.847,395.0653422637587,0.306949416909621
Europe,1980,6211206183210.387,385.81963838475866,0.32368411078717196
Europe,1981,5771383855933.813,371.9774900847587,0.48843921282798847
Europe,1982,5642086860178.91,364.7421113197587,0.6283779883381926
Europe,1983,5539473453778.846,359.7183377267586,0.763480029154519
Europe,1984,5405110673649.641,364.31268745475876,0.476949416909621
Europe,1985,5516636149003.485,371.2252010297586,0.26021472303207
Europe,1986,6725255510188.108,374.11203308575864,0.5185616618075801
Europe,1987,7689747599770.788,376.2602323237587,0.3402759475218658
Europe,1988,7915250595363.071,374.5235577717587,0.8196432944606413
Europe,1989,8007204762202.745,381.80231260375876,1.0621943148688047
Europe,1990,9066866691567.156,418.594779576,1.1861330903790088
Europe,1991,9321971332042.057,407.94303330099996,0.6595004373177844
Europe,1992,9941907385282.574,379.0293208240001,0.6014064139941692
Europe,1993,9148048888011.572,364.64482961699986,0.21656967930029156
Europe,1994,9525257782054.637,349.361763488,1.0602023323615162
Europe,1995,10846682037128.496,339.93755353000006,0.9496717201166182
Europe,1996,11069762791472.219,348.28786759000013,0.12179416909620992
Europe,1997,10498518945691.557,341.0340829110001,0.7246921282798834
Europe,1998,10769767049528.084,339.16771815000004,0.9326309037900876
Europe,1999,10643969798283.246,331.4011736879999,1.0745084548104957
Europe,2000,10016862753155.766,330.7863096680001,1.2957492711370262
Europe,2001,10127369191546.496,336.87349706599997,1.3590962099125365
Europe,2002,11071055746103.176,337.89013098699985,1.2235247813411083
Europe,2003,13483590819894.988,351.0870898349998,0.9835043731778427
Europe,2004,15714884670127.297,353.94783953800004,0.9626472303206995
Europe,2005,16729229934778.98,351.568155139,0.9030758017492714
Europe,2006,18110698911040.008,354.88231893999995,1.033061224489796
Europe,2007,21156357565969.207,353.412002687,1.66634693877551
Europe,2008,23219333889483.08,349.45729285199985,1.346938775510205
Europe,2009,20415947326961.97,321.632562442,1.25865306122449
Europe,2010,20902049271151.49,334.02432093700014,0.8710204081632654
Europe,2011,23158302985012.133,327.51081297900004,1.0640204081632654
Europe,2012,22308582067443.734,318.126591016,1.345326530612245
Europe,2013,23306642717651.316,312.2630606660001,1.0407959183673468
Europe,2014,23617426411334.18,295.8247120479999,1.8441428571428575
Europe,2015,20335804891198.8,292.18469762200004,1.641448979591837
Europe,2016,20269562586589.91,293.054036584,1.7636122448979585
Europe,2017,21482011609777.727,295.5680392960001,1.5014489795918367
Europe,2018,23041162391823.805,292.75694389700004,1.9644897959183674
Europe,2019,22693870384766.67,345.67019393192817,1.874428571428572
Europe,2020,21824137505934.06,345.67019393192817,0.8288622498394026
North America,1960,673707273531.1282,262.51916399439284,0.4290857327321945
North America,1961,695694582975.8219,272.2724494933928,0.03745418894830659
North America,1962,740495950689.4105,292.68867562799994,0.026715365418894823
North America,1963,779337006228.7229,275.45361663200003,0.05331536541889483
North America,1964,834721923249.8503,277.80013442100005,0.05229418894830659
North America,1965,891427657934.5168,259.520331749,-0.15349490196078436
North America,1966,972681968948.2349,250.69612575600001,-0.04191372549019608
North America,1967,1027146981552.0797,298.76131768299996,-0.24571372549019604
North America,1968,1117768352064.837,295.121779368,-0.2144737254901961
North America,1969,1206938104285.0789,358.48325350299984,0.20584000000000002
North America,1970,1240228767660.1497,386.2045511569999,-0.06268000000000001
North America,1971,1349634928301.6335,374.186876535,-0.27012
